campaign_name,ad_group_name,keyword,spend,impressions,clicks,conversion_rate,revenue,conv_rate_pct,platform,product_category,category_grouped,ctr,cpc,conversions,cpa,roas,aov,funnel_stage,ad_set_name,ad_name
Home Appliances - Microwaves,Over the Range Microwaves,stainless steel over the range microwave,1080.6,18500.0,375.0,2025-03-02 00:00:00,4600.0,2.0,Google,Home Appliances,HomeComfort,0.02027027027027027,2.8815999999999997,7.5,144.07999999999998,4.256894317971498,613.3333333333334,Search,,stainless steel over the range microwave
Tech - Smartwatches,Smartwatches for Women,womens smart watch rose gold,1720.75,28500.0,570.0,2025-05-02 00:00:00,8550.0,2.0,Google,Tech,Tech,0.02,3.018859649122807,11.4,150.94298245614036,4.96876362051431,750.0,Search,,womens smart watch rose gold
Clothes - Womenswear,Jeans,high waisted skinny jeans,930.25,18000.0,345.0,2025-06-03 00:00:00,4140.0,3.0,Google,Clothes,Fashion,0.019166666666666665,2.696376811594203,10.35,89.8792270531401,4.4504165546896,400.0,Search,,high waisted skinny jeans
Home Appliances - Dishwashers,Portable Dishwashers,compact portable dishwasher,1180.8,22000.0,415.0,2.0,5180.0,2.0,Google,Home Appliances,HomeComfort,0.018863636363636364,2.845301204819277,8.3,142.26506024096383,4.386856368563686,624.0963855421686,Search,,compact portable dishwasher
Tech - Laptops,Chromebooks,best budget chromebook,1480.3,24500.0,495.0,2025-04-02 00:00:00,7425.0,2.0,Google,Tech,Tech,0.02020408163265306,2.9905050505050506,9.9,149.5252525252525,5.0158751604404515,750.0,Search,,best budget chromebook
Clothes - Menswear,Sweaters,mens merino wool sweater,880.15,16500.0,330.0,2025-03-03 00:00:00,3960.0,3.0,Google,Clothes,Fashion,0.02,2.667121212121212,9.9,88.9040404040404,4.499233085269556,400.0,Search,,mens merino wool sweater
Home Appliances - Refrigerators,Side by Side Refrigerators,black side by side fridge,1250.85,21000.0,410.0,2025-08-01 00:00:00,5460.0,1.0,Google,Home Appliances,HomeComfort,0.019523809523809523,3.0508536585365853,4.1,305.0853658536585,4.365031778390694,1331.7073170731708,Search,,black side by side fridge
Tech - Smartphones,iPhones,latest iphone price,1900.95,32000.0,620.0,2025-01-02 00:00:00,9300.0,2.0,Google,Tech,Tech,0.019375,3.066048387096774,12.4,153.30241935483872,4.892290696756884,750.0,Search,,latest iphone price
Clothes - Womenswear,Activewear,womens yoga pants,970.2,19500.0,355.0,2025-07-03 00:00:00,4440.0,3.0,Google,Clothes,Fashion,0.018205128205128204,2.7329577464788732,10.65,91.09859154929578,4.576376004947433,416.9014084507042,Search,,womens yoga pants
Home Appliances - Washing Machines,Compact Washers,small apartment washing machine,1090.5,18000.0,370.0,2025-02-02 00:00:00,4550.0,2.0,Google,Home Appliances,HomeComfort,0.020555555555555556,2.9472972972972973,7.4,147.36486486486487,4.1723979825768,614.8648648648648,Search,,small apartment washing machine
Tech - Headphones,Gaming Headsets,pc gaming headset microphone,1580.35,26500.0,530.0,2025-09-02 00:00:00,7685.0,2.0,Google,Tech,Tech,0.02,2.9817924528301885,10.6,149.08962264150944,4.8628468377258205,725.0,Search,,pc gaming headset microphone
Clothes - Kids Apparel,Boys Shorts,kids denim shorts,680.0,12000.0,240.0,2025-01-04 00:00:00,2400.0,4.0,Google,Clothes,Fashion,0.02,2.8333333333333335,9.6,70.83333333333334,3.5294117647058822,250.0,Search,,kids denim shorts
Home Appliances - Ovens,Gas Ovens,natural gas range oven,1320.7,22500.0,425.0,2025-07-01 00:00:00,5300.0,1.0,Google,Home Appliances,HomeComfort,0.01888888888888889,3.107529411764706,4.25,310.7529411764706,4.013023396683577,1247.0588235294117,Search,,natural gas range oven
Tech - Tablets,Android Tablets,best android tablet for note taking,1420.25,23500.0,485.0,2025-07-02 00:00:00,7275.0,2.0,Google,Tech,Tech,0.020638297872340425,2.9283505154639173,9.700000000000001,146.41752577319585,5.122337616616793,749.9999999999999,Search,,best android tablet for note taking
Clothes - Menswear,Suits,mens formal suit sale,1000.4,19000.0,360.0,3.0,4320.0,3.0,Google,Clothes,Fashion,0.018947368421052633,2.778888888888889,10.799999999999999,92.62962962962963,4.318272690923631,400.00000000000006,Search,,mens formal suit sale
Home Appliances - Microwaves,Drawer Microwaves,built in microwave drawer,1100.65,19500.0,380.0,2025-04-02 00:00:00,4800.0,2.0,Google,Home Appliances,HomeComfort,0.019487179487179488,2.896447368421053,7.6000000000000005,144.82236842105263,4.361059374006269,631.578947368421,Search,,built in microwave drawer
Tech - Smartwatches,Smartwatches for Men,mens rugged smartwatch,1780.9,29500.0,600.0,2025-03-02 00:00:00,9000.0,2.0,Google,Tech,Tech,0.020338983050847456,2.968166666666667,12.0,148.40833333333333,5.053624571845695,750.0,Search,,mens rugged smartwatch
Clothes - Womenswear,Shorts,womens denim shorts high rise,910.15,17000.0,335.0,2025-09-03 00:00:00,4020.0,3.0,Google,Clothes,Fashion,0.019705882352941177,2.716865671641791,10.049999999999999,90.56218905472637,4.4168543646651655,400.00000000000006,Search,,womens denim shorts high rise
Home Appliances - Dishwashers,Drawer Dishwashers,stainless steel dishwasher drawer,1200.7,21500.0,405.0,2025-01-02 00:00:00,5060.0,2.0,Google,Home Appliances,HomeComfort,0.018837209302325582,2.9646913580246914,8.1,148.23456790123458,4.214208378445907,624.6913580246913,Search,,stainless steel dishwasher drawer
Tech - Laptops,Gaming Laptops,high performance gaming laptop,1520.6,25500.0,510.0,2025-06-02 00:00:00,7650.0,2.0,Google,Tech,Tech,0.02,2.9815686274509803,10.200000000000001,149.078431372549,5.030908851769039,749.9999999999999,Search,,high performance gaming laptop
Clothes - Menswear,T-Shirts,plain cotton t-shirts mens,780.1,14500.0,290.0,2025-02-03 00:00:00,3480.0,3.0,Google,Clothes,Fashion,0.02,2.69,8.7,89.66666666666667,4.4609665427509295,400.00000000000006,Search,,plain cotton t-shirts mens
Home Appliances - Refrigerators,Compact Refrigerators,mini fridge for dorm room,950.3,16000.0,350.0,2025-09-01 00:00:00,4200.0,1.0,Google,Home Appliances,HomeComfort,0.021875,2.715142857142857,3.5,271.5142857142857,4.419656950436704,1200.0,Search,,mini fridge for dorm room
Tech - Smartphones,Android Phones,best budget android phone,1850.95,31000.0,610.0,2025-03-02 00:00:00,9150.0,2.0,Google,Tech,Tech,0.01967741935483871,3.034344262295082,12.200000000000001,151.7172131147541,4.943407439422999,749.9999999999999,Search,,best budget android phone
Clothes - Womenswear,Summer Dresses,maxi dresses for summer,960.25,18500.0,350.0,2025-06-03 00:00:00,4200.0,3.0,Google,Clothes,Fashion,0.01891891891891892,2.7435714285714288,10.5,91.45238095238095,4.3738609737047645,400.0,Search,,maxi dresses for summer
Home Appliances - Washing Machines,Smart Washers,wifi enabled washing machine,1130.8,20500.0,395.0,2025-02-02 00:00:00,5135.0,2.0,Google,Home Appliances,HomeComfort,0.01926829268292683,2.8627848101265823,7.9,143.1392405063291,4.541032897064025,650.0,Search,,wifi enabled washing machine
Tech - Headphones,Over-Ear Headphones,comfortable over ear headphones,1620.5,27000.0,540.0,2025-08-02 00:00:00,8100.0,2.0,Google,Tech,Tech,0.02,3.0009259259259258,10.8,150.04629629629628,4.998457266275841,750.0,Search,,comfortable over ear headphones
Clothes - Kids Apparel,Girls T-Shirts,girls unicorn t shirts,710.05,13000.0,255.0,2025-01-04 00:00:00,2550.0,4.0,Google,Clothes,Fashion,0.019615384615384614,2.7845098039215683,10.200000000000001,69.6127450980392,3.59129638757834,249.99999999999997,Search,,girls unicorn t shirts
Home Appliances - Ovens,Double Ovens,stainless steel double oven,1380.95,24000.0,440.0,2025-05-01 00:00:00,5500.0,1.0,Google,Home Appliances,HomeComfort,0.018333333333333333,3.1385227272727274,4.4,313.8522727272727,3.9827654875267027,1250.0,Search,,stainless steel double oven
Tech - Tablets,Drawing Tablets,wacom drawing tablet price,1430.3,23800.0,488.0,2025-06-02 00:00:00,7320.0,2.0,Google,Tech,Tech,0.020504201680672268,2.9309426229508198,9.76,146.547131147541,5.117807452981892,750.0,Search,,wacom drawing tablet price
Clothes - Menswear,Jeans,distressed denim jeans mens,860.2,16200.0,325.0,2025-01-03 00:00:00,3770.0,3.0,Google,Clothes,Fashion,0.020061728395061727,2.6467692307692308,9.75,88.22564102564102,4.382701697279702,386.6666666666667,Search,,distressed denim jeans mens
Home Appliances - Microwaves,Retro Microwaves,vintage style microwave oven,1020.7,17500.0,365.0,2025-02-02 00:00:00,4500.0,2.0,Google,Home Appliances,HomeComfort,0.02085714285714286,2.7964383561643835,7.3,139.82191780821918,4.408739100617224,616.4383561643835,Search,,vintage style microwave oven
Tech - Smartwatches,Smartwatches for Women,waterproof smartwatch women,1710.6,28000.0,575.0,2025-04-02 00:00:00,8625.0,2.0,Google,Tech,Tech,0.020535714285714286,2.9749565217391303,11.5,148.7478260869565,5.042090494563311,750.0,Search,,waterproof smartwatch women
Clothes - Womenswear,Blouses,casual womens blouses,940.1,18000.0,340.0,2025-07-03 00:00:00,4080.0,3.0,Google,Clothes,Fashion,0.01888888888888889,2.765,10.2,92.16666666666667,4.3399638336347195,400.0,Search,,casual womens blouses
Home Appliances - Dishwashers,Slimline Dishwashers,18 inch dishwasher,1160.75,21200.0,400.0,2.0,5000.0,2.0,Google,Home Appliances,HomeComfort,0.018867924528301886,2.901875,8.0,145.09375,4.307559767391773,625.0,Search,,18 inch dishwasher
Tech - Laptops,Ultrabooks,best ultrabook for students,1530.45,25800.0,515.0,2025-05-02 00:00:00,7725.0,2.0,Google,Tech,Tech,0.01996124031007752,2.9717475728155343,10.3,148.5873786407767,5.047535038714104,750.0,Search,,best ultrabook for students
Clothes - Menswear,Shorts,athletic shorts for men,760.05,14200.0,285.0,3.0,3420.0,3.0,Google,Clothes,Fashion,0.02007042253521127,2.6668421052631577,8.549999999999999,88.89473684210527,4.499703966844287,400.00000000000006,Search,,athletic shorts for men
Home Appliances - Refrigerators,French Door Refrigerators,energy star french door fridge,1220.75,20500.0,405.0,2025-07-01 00:00:00,5265.0,1.0,Google,Home Appliances,HomeComfort,0.01975609756097561,3.0141975308641977,4.05,301.41975308641975,4.312922383780463,1300.0,Search,,energy star french door fridge
Tech - Smartphones,Budget Phones,best cheap smartphone camera,1770.8,29800.0,595.0,2025-01-02 00:00:00,8925.0,2.0,Google,Tech,Tech,0.019966442953020136,2.9761344537815124,11.9,148.80672268907563,5.040094872374068,750.0,Search,,best cheap smartphone camera
Clothes - Womenswear,Skirts,pleated midi skirt,915.2,17500.0,330.0,2025-08-03 00:00:00,3960.0,3.0,Google,Clothes,Fashion,0.018857142857142857,2.7733333333333334,9.9,92.44444444444444,4.326923076923077,400.0,Search,,pleated midi skirt
Home Appliances - Washing Machines,Front Load Washers,high efficiency front loader,1110.6,19200.0,385.0,2025-01-02 00:00:00,5005.0,2.0,Google,Home Appliances,HomeComfort,0.020052083333333335,2.8846753246753245,7.7,144.23376623376623,4.506573023590852,650.0,Search,,high efficiency front loader
Tech - Headphones,Wireless Earbuds,apple wireless earbuds,1680.55,28000.0,570.0,2025-06-02 00:00:00,8550.0,2.0,Google,Tech,Tech,0.02035714285714286,2.9483333333333333,11.4,147.41666666666666,5.087620124364047,750.0,Search,,apple wireless earbuds
Clothes - Kids Apparel,Boys T-Shirts,boys plain t shirts multipack,690.1,12500.0,245.0,2025-03-04 00:00:00,2450.0,4.0,Google,Clothes,Fashion,0.0196,2.8167346938775513,9.8,70.41836734693877,3.5502101144761626,249.99999999999997,Search,,boys plain t shirts multipack
Home Appliances - Ovens,Convection Ovens,compact convection oven,1310.75,22200.0,420.0,2025-06-01 00:00:00,5250.0,1.0,Google,Home Appliances,HomeComfort,0.01891891891891892,3.120833333333333,4.2,312.0833333333333,4.005340453938585,1250.0,Search,,compact convection oven
Tech - Tablets,Kids Tablets,kids learning tablet,1460.45,24200.0,495.0,2025-04-02 00:00:00,7425.0,2.0,Google,Tech,Tech,0.020454545454545454,2.9504040404040404,9.9,147.52020202020202,5.084049436817419,750.0,Search,,kids learning tablet
Clothes - Menswear,Jackets,lightweight mens jacket,930.2,17800.0,345.0,2025-05-03 00:00:00,4140.0,3.0,Google,Clothes,Fashion,0.019382022471910114,2.6962318840579713,10.35,89.87439613526571,4.450655772952053,400.0,Search,,lightweight mens jacket
Home Appliances - Microwaves,Countertop Microwaves,digital countertop microwave,1070.55,18200.0,370.0,2025-03-02 00:00:00,4500.0,2.0,Google,Home Appliances,HomeComfort,0.02032967032967033,2.893378378378378,7.4,144.6689189189189,4.203446826397646,608.1081081081081,Search,,digital countertop microwave
Tech - Smartwatches,Fitness Trackers,gps fitness tracker watch,1730.8,29000.0,585.0,2025-04-02 00:00:00,8775.0,2.0,Google,Tech,Tech,0.020172413793103448,2.9586324786324787,11.700000000000001,147.9316239316239,5.069909868269009,749.9999999999999,Search,,gps fitness tracker watch
Clothes - Womenswear,Jeans,straight leg jeans women,925.25,17800.0,340.0,2025-07-03 00:00:00,4040.0,3.0,Google,Clothes,Fashion,0.019101123595505618,2.7213235294117646,10.2,90.7107843137255,4.366387462847879,396.07843137254906,Search,,straight leg jeans women
Home Appliances - Dishwashers,Built-in Dishwashers,quiet built in dishwasher,1170.8,21800.0,410.0,2025-09-01 00:00:00,5125.0,1.0,Google,Home Appliances,HomeComfort,0.018807339449541285,2.855609756097561,4.1,285.5609756097561,4.377348821318757,1250.0,Search,,quiet built in dishwasher
Tech - Laptops,Chromebooks,best 2-in-1 chromebook,1490.35,25000.0,500.0,2025-03-02 00:00:00,7500.0,2.0,Google,Tech,Tech,0.02,2.9806999999999997,10.0,149.035,5.032374945482605,750.0,Search,,best 2-in-1 chromebook
Clothes - Menswear,Sweaters,crew neck sweater mens,870.1,16000.0,320.0,2025-04-03 00:00:00,3840.0,3.0,Google,Clothes,Fashion,0.02,2.7190625,9.6,90.63541666666667,4.413285829215033,400.0,Search,,crew neck sweater mens
Home Appliances - Refrigerators,Top Freezer Refrigerators,white top freezer refrigerator,1060.7,18500.0,375.0,2025-08-01 00:00:00,4500.0,1.0,Google,Home Appliances,HomeComfort,0.02027027027027027,2.8285333333333336,3.75,282.85333333333335,4.2424813802206085,1200.0,Search,,white top freezer refrigerator
Tech - Smartphones,iPhones,iphone 15 pro max price,1950.9,33000.0,630.0,2.0,9450.0,2.0,Google,Tech,Tech,0.019090909090909092,3.0966666666666667,12.6,154.83333333333334,4.8439181916038745,750.0,Search,,iphone 15 pro max price
Clothes - Womenswear,Activewear,womens leggings high waisted,985.2,20000.0,360.0,2025-06-03 00:00:00,4320.0,3.0,Google,Clothes,Fashion,0.018,2.736666666666667,10.799999999999999,91.22222222222223,4.38489646772229,400.00000000000006,Search,,womens leggings high waisted
Home Appliances - Washing Machines,Top Load Washers,best top load washer,1140.9,20800.0,400.0,2.0,5200.0,2.0,Google,Home Appliances,HomeComfort,0.019230769230769232,2.85225,8.0,142.6125,4.557805241476028,650.0,Search,,best top load washer
Tech - Headphones,Noise Cancelling Headphones,sony noise cancelling headphones,1610.4,26800.0,535.0,2025-09-02 00:00:00,8025.0,2.0,Google,Tech,Tech,0.01996268656716418,3.0100934579439254,10.700000000000001,150.50467289719626,4.983233979135618,749.9999999999999,Search,,sony noise cancelling headphones
Clothes - Kids Apparel,Girls Dresses,girls summer dress sale,730.15,14000.0,270.0,4.0,2700.0,4.0,Google,Clothes,Fashion,0.019285714285714285,2.7042592592592594,10.8,67.60648148148148,3.6978703006231597,249.99999999999997,Search,,girls summer dress sale
Home Appliances - Ovens,Wall Ovens,electric wall oven with air fry,1360.85,23500.0,435.0,2025-07-01 00:00:00,5500.0,1.0,Google,Home Appliances,HomeComfort,0.01851063829787234,3.128390804597701,4.3500000000000005,312.83908045977006,4.041591652276151,1264.367816091954,Search,,electric wall oven with air fry
Tech - Tablets,Android Tablets,samsung galaxy tab s9,1440.35,24000.0,490.0,2025-07-02 00:00:00,7350.0,2.0,Google,Tech,Tech,0.020416666666666666,2.9394897959183672,9.8,146.97448979591834,5.102926372062346,750.0,Search,,samsung galaxy tab s9
Clothes - Menswear,Suits,mens business suits,1020.5,19500.0,370.0,2025-09-02 00:00:00,4440.0,2.0,Google,Clothes,Fashion,0.018974358974358976,2.7581081081081082,7.4,137.9054054054054,4.350808427241549,600.0,Search,,mens business suits
Home Appliances - Microwaves,Over the Range Microwaves,over the range microwave with vent,1090.6,19000.0,375.0,2025-04-02 00:00:00,4600.0,2.0,Google,Home Appliances,HomeComfort,0.019736842105263157,2.9082666666666666,7.5,145.41333333333333,4.217861727489455,613.3333333333334,Search,,over the range microwave with vent
Tech - Smartwatches,Smartwatches for Men,apple watch series 9,1790.95,30000.0,610.0,2025-02-02 00:00:00,9150.0,2.0,Google,Tech,Tech,0.02033333333333333,2.935983606557377,12.200000000000001,146.79918032786884,5.1090203523269775,749.9999999999999,Search,,apple watch series 9
Clothes - Womenswear,Shorts,womens Bermuda shorts,900.1,16500.0,330.0,4.0,3960.0,4.0,Google,Clothes,Fashion,0.02,2.7275757575757575,13.200000000000001,68.18939393939394,4.3995111654260635,300.0,Search,,womens Bermuda shorts
Home Appliances - Dishwashers,Portable Dishwashers,small portable dishwasher for RV,1190.85,22500.0,420.0,2025-09-01 00:00:00,5250.0,1.0,Google,Home Appliances,HomeComfort,0.018666666666666668,2.8353571428571427,4.2,283.5357142857143,4.408615694671873,1250.0,Search,,small portable dishwasher for RV
Tech - Laptops,Gaming Laptops,budget gaming laptop under 1000,1490.5,24000.0,490.0,2025-07-02 00:00:00,7350.0,2.0,Google,Tech,Tech,0.020416666666666666,3.0418367346938777,9.8,152.09183673469386,4.931231130493123,750.0,Search,,budget gaming laptop under 1000
Clothes - Menswear,T-Shirts,graphic tees for men,810.2,15500.0,310.0,2025-01-03 00:00:00,3720.0,3.0,Google,Clothes,Fashion,0.02,2.6135483870967744,9.299999999999999,87.1182795698925,4.591458899037274,400.00000000000006,Search,,graphic tees for men
Home Appliances - Refrigerators,Compact Refrigerators,small refrigerator for bedroom,960.35,16500.0,355.0,2025-08-01 00:00:00,4260.0,1.0,Google,Home Appliances,HomeComfort,0.021515151515151515,2.705211267605634,3.5500000000000003,270.5211267605634,4.435882751080335,1200.0,Search,,small refrigerator for bedroom
Tech - Smartphones,Android Phones,google pixel 8 pro,1880.9,31500.0,600.0,2025-02-02 00:00:00,9000.0,2.0,Google,Tech,Tech,0.01904761904761905,3.1348333333333334,12.0,156.74166666666667,4.784943378170024,750.0,Search,,google pixel 8 pro
Clothes - Womenswear,Summer Dresses,boho summer dresses,970.3,19000.0,360.0,2025-05-03 00:00:00,4320.0,3.0,Google,Clothes,Fashion,0.018947368421052633,2.6952777777777777,10.799999999999999,89.8425925925926,4.45223126867979,400.00000000000006,Search,,boho summer dresses
Home Appliances - Washing Machines,Compact Washers,small stackable washer dryer,1100.55,18500.0,375.0,2025-03-02 00:00:00,4600.0,2.0,Google,Home Appliances,HomeComfort,0.02027027027027027,2.9348,7.5,146.73999999999998,4.179728317659352,613.3333333333334,Search,,small stackable washer dryer
Tech - Headphones,Gaming Headsets,wireless gaming headset,1590.4,27000.0,540.0,2025-08-02 00:00:00,8100.0,2.0,Google,Tech,Tech,0.02,2.9451851851851854,10.8,147.25925925925927,5.093058350100604,750.0,Search,,wireless gaming headset
Clothes - Kids Apparel,Boys Shorts,boys swim shorts,690.05,12800.0,250.0,4.0,2500.0,4.0,Google,Clothes,Fashion,0.01953125,2.7601999999999998,10.0,69.005,3.622925874936599,250.0,Search,,boys swim shorts
Home Appliances - Ovens,Gas Ovens,gas range with double oven,1330.75,22800.0,430.0,2025-07-01 00:00:00,5400.0,1.0,Google,Home Appliances,HomeComfort,0.018859649122807017,3.094767441860465,4.3,309.4767441860465,4.0578621078339285,1255.8139534883721,Search,,gas range with double oven
Tech - Tablets,Drawing Tablets,best drawing tablet for beginners,1410.2,23200.0,480.0,2025-08-02 00:00:00,7200.0,2.0,Google,Tech,Tech,0.020689655172413793,2.9379166666666667,9.6,146.89583333333334,5.105658771805418,750.0,Search,,best drawing tablet for beginners
Clothes - Menswear,Jeans,bootcut jeans mens,840.15,15800.0,315.0,2025-03-03 00:00:00,3780.0,3.0,Google,Clothes,Fashion,0.019936708860759492,2.6671428571428573,9.45,88.90476190476191,4.499196572040707,400.00000000000006,Search,,bootcut jeans mens
Home Appliances - Microwaves,Retro Microwaves,retro countertop microwave,1030.75,17800.0,370.0,2025-01-02 00:00:00,4500.0,2.0,Google,Home Appliances,HomeComfort,0.020786516853932586,2.7858108108108106,7.4,139.29054054054055,4.365753092408441,608.1081081081081,Search,,retro countertop microwave
Tech - Smartwatches,Smartwatches for Women,smartwatch for running women,1700.5,27800.0,570.0,2025-05-02 00:00:00,8550.0,2.0,Google,Tech,Tech,0.02050359712230216,2.9833333333333334,11.4,149.16666666666666,5.027932960893855,750.0,Search,,smartwatch for running women
